number,value,datetime_start,datetime_complete,duration,params_l0_dropout_rate,params_l0_is_bn,params_l0_out_features,params_l1_dropout_rate,params_l1_is_bn,params_l1_out_features,params_l2_dropout_rate,params_l2_is_bn,params_l2_out_features,params_num_hidden_layers,state
0,0.959051724137931,2024-06-14 09:17:49.660301,2024-06-14 11:49:25.970254,0 days 02:31:36.309953,0.3855104290789179,True,1024.0,,,,,,,1,COMPLETE
1,0.923760775862069,2024-06-14 11:49:26.053361,2024-06-14 14:21:13.283037,0 days 02:31:47.229676,0.304200940318362,True,1024.0,0.5285886576496776,True,224.0,0.056160170451762116,True,864.0,3,COMPLETE
2,0.9073275862068966,2024-06-14 14:21:13.366295,2024-06-14 16:52:50.400901,0 days 02:31:37.034606,0.5697355891559558,True,992.0,0.217638699714817,True,320.0,0.2697260527721356,False,768.0,3,COMPLETE
3,0.9552801724137931,2024-06-14 16:52:50.482491,2024-06-14 19:24:30.885997,0 days 02:31:40.403506,,,,,,,,,,0,COMPLETE
4,0.9533943965517241,2024-06-14 19:24:30.969019,2024-06-14 21:56:08.643694,0 days 02:31:37.674675,,,,,,,,,,0,COMPLETE
5,0.681573275862069,2024-06-14 21:56:08.725275,2024-06-14 22:16:21.442363,0 days 00:20:12.717088,0.1669774779256479,True,224.0,,,,,,,1,PRUNED
6,0.9587823275862069,2024-06-14 22:16:21.551971,2024-06-15 00:47:29.809512,0 days 02:31:08.257541,0.11810082797436491,False,896.0,,,,,,,1,COMPLETE
7,0.49084051724137934,2024-06-15 00:47:29.892809,2024-06-15 00:57:36.475905,0 days 00:10:06.583096,0.27948677641236913,True,160.0,,,,,,,1,PRUNED
8,0.38146551724137934,2024-06-15 00:57:36.587833,2024-06-15 01:07:41.558637,0 days 00:10:04.970804,0.21815571366521783,False,160.0,0.34562628768659115,True,768.0,,,,2,PRUNED
9,0.9490840517241379,2024-06-15 01:07:41.688503,2024-06-15 02:58:45.546563,0 days 01:51:03.858060,,,,,,,,,,0,PRUNED
10,0.38981681034482757,2024-06-15 02:58:45.660039,2024-06-15 03:08:53.125671,0 days 00:10:07.465632,0.4828457248540609,True,640.0,0.030600701785524542,False,1024.0,,,,2,PRUNED
11,0.9533943965517241,2024-06-15 03:08:53.238366,2024-06-15 05:40:03.631548,0 days 02:31:10.393182,0.003907657438595391,False,768.0,,,,,,,1,COMPLETE
